Machine,Shift,Temperature,Pressure,Time,Output,Defects,Downtime
Die Bonder,Evening,99.45,0.933,60,120,5,3.2
Wafer Bumper,Night,85.61,0.985,49,120,9,20.7
Wafer Bumper,Evening,90.51,0.701,55,88,11,12.4
Inspection,Night,92.54,1.074,56,106,6,6.3
Wafer Bumper,Evening,94.03,1.068,45,84,7,13.7
Die Bonder,Morning,92.72,0.898,39,105,8,18.7
Wafer Bumper,Evening,79.88,1.05,44,82,11,22.4
Wafer Bumper,Evening,95.29,1.14,55,90,0,6.9
Die Bonder,Morning,93.52,1.148,59,88,5,18.0
Inspection,Morning,91.26,1.021,41,103,7,9.1
Die Bonder,Night,95.66,0.956,53,85,13,19.6
Wafer Bumper,Night,92.54,0.989,59,88,3,4.0
Inspection,Morning,92.44,1.064,59,84,15,16.5
Wafer Bumper,Night,95.6,1.014,60,82,5,3.5
Die Bonder,Morning,96.54,0.948,55,106,15,18.6
Die Bonder,Night,92.5,0.991,30,106,4,15.1
Die Bonder,Morning,93.01,0.872,40,94,10,11.5
